A    
a     art.一(个)；每一(个)
appendix     n.附录,附属品,[解]阑尾
appetite     [ˈæpitait] n.食欲，胃口；欲望
appetizer     ['æpitaizə(r)] n.开胃品
appetizing     ['æpitaiziŋ] a.美味可口的，促进食欲的
applaud     [ə'plɔ:d] v.鼓掌表示欢迎或赞赏
applause     [ə'plɔ:z] n.鼓掌，喝彩
apple     [ˈæpl] n.苹果，苹果树
appliance     [əˈplaiəns] n.用具，器具，器械
applicable     [ˈæplikəbl] a.能应用的；适当的
applicant     ['æplikənt] n.申请人
application     [ˌæpliˈkei∫ən] n.请求，申请；施用
apply     [əˈplai] vt.应用，实施，使用
appoint     [əˈpɔint] vt.任命，委任；约定
appointment     [əˈpɔintmənt] n.任命;约定,约会
apposite     ['æpəzit] a.适当的，恰当的
appraisal     n.评价,估价(尤指估价财产,以便征税),鉴定
appraise     [ə'preiz] v.评价，鉴定
appreciable     [ə'pri:ʃiəbl] a.明显的，可观的
appreciate     [əˈpriː∫ieit] vt.欣赏；领会；感谢
apprehend     [,æpri'hend] v.逮捕；恐惧
apprehensive     [,æpri'hensiv] a.有眼力的；害怕的
apprentice     [ə'prentis] n.学徒
apprise     [ə'praiz] v.通知，告诉
approach     [əˈprəut∫] vt.向…靠近 n.靠近
approbation     [,æprə'beiʃən] n.称赞，认可
appropriate     [əˈprəupriit] a.适当的，恰当的
approval     [əˈpruːvəl] n.赞成，同意；批准
approve     [əˈpruːv] vt.赞成，称许；批准
approximate     [əˈprɔksimeit] a.近似的 vt.近似
approximately     [əprɔksiˈmətli] ad.近似地，大约
april     [ˈeiprəl] n.四月
April     (名)四月
apron     ['eiprən] n.围裙
apropos     ['æprəpəu] a./adv.适宜的(地)；有关
apt     [æpt] a.易于„的；恰当的；聪明的
aptitude     ['æptitju:d] n.适宜；才能，资质
aquatic     [ə'kwætik] a.水生的，水中的
aqueduct     ['ækwi,dʌkt] n.引水渠；高架渠
aquifer     ['ækwifə] n.含水土层
aquiline     ['ækwilain] a. 鹰的，似鹰的
arabesque     [,ærə'besk] n.蔓藤图饰
arabian     [əˈreibjən] a.阿拉伯的
arable     ['ærəbl] a.可耕的，适合种植的
arachnid     [ə'ræknid] n. 蜘蛛类节肢动物
arbiter     ['ɑ:bitə] n.权威人士，泰斗
arbitrary     [ˈɑːbitrəri] a.随心所欲的；专断的
arbitrate     ['ɑ:bitreit] v.仲裁，公断
arboreal     [ɑ:'bɔ:riəl] a.树木的
arboretum     [,ɑ:bə'ri:təm] n.植物园
arc     n.弧,弓形,拱
arcane     [ɑ:'kein] a.神秘的，秘密的
arch     [ɑ:tʃ] n.拱门，拱形 v.使成拱形
archaeology     [,ɑ:ki'ɔlədʒi] n.考古学
archer     ['ɑ:tʃə] n. 弓箭手，射手
archetype     ['ɑ:kitaip] n.原型；典型例子
archipelago     [,ɑ:ki'peliɡəu] n.群岛
architect     ['ɑ:kitekt] n.建筑师
architecture     [ˈɑːkitekt∫ə] n.建筑学；建筑式样
archive     ['ɑ:kaiv] n.档案室
arctic     ['ɑ:ktik] a.北极的；极寒的
ardent     ['ɑ:dənt] a.热心的，热烈的
area     [ˈeəriə] n.面积；地区；领域
arena     [ə'ri:nə] n.(角斗的)竞技场
argot     ['ɑ:ɡəu] n.隐语，黑话
argue     [ˈɑːgjuː] vi.争论，争辩，辩论
argument     [ˈɑːgjumənt] n.争论，辩论；理由
aria     ['ɑ:riə] n.独唱曲，咏叹调
arid     ['ærid] a.干旱的；枯燥的
arise     [əˈraiz] vi.出现；由…引起
aristocracy     [,æris'tɔkrəsi] n.贵族；贵族政府，贵族统治
arithmetic     [əˈriθmətik] n.算术，四则运算
arm     [ɑːm] n.臂；臂状物；武器
armada     [ɑ:'mɑ:də] n.舰队
armistice     ['ɑ:mistis] n.休战，停战
armor     n.装甲
armory     ['ɑ:məri] n.军械库
army     [ˈɑːmi] n.军队；陆军
aroma     [ə'rəumə] n.芳香，香气
aromatic     [,ærəu'mætik] a.芬芳的，芳香的
around     [əˈraund] prep.在…周围
arouse     [əˈrauz] vt.引起，唤起；唤醒
arraign     [ə'rein] v. 传讯; 指责
arrange     [əˈreindʒ] vt.筹备；整理；调解
arrangement     [əˈreindʒmənt] n.整理,排列;安排
arrant     ['ærənt] a. 完全的，彻底的；极坏的
array     [ə'rei] v.部署；n.陈列；大批
arrest     [əˈrest] vt.逮捕，拘留；阻止
arresting     [ə'restiŋ] a.显著的，引人注意的
arrhythmic     [ə'riðmik] a.无节奏的；不规则的
arrival     [əˈraivəl] n.到达；到来；到达者
arrive     [əˈraiv] vi.到达；来临；达到
arrogance     ['ærəɡəns] n.傲慢，自大
arrogant     ['ærəɡənt] a.傲慢的，自大的
arrogate     ['ærəuɡeit] v.冒称具有„权利，霸占
arrow     [ˈærəu] n.箭；箭状物
arroyo     [ə'rɔiəu] n.干涸的河床；小河
arsenal     ['ɑ:sinl] n.军械库
arson     ['ɑ:sn] n.纵火，放火
art     [ɑːt] n.艺术，美术；技术
artery     ['ɑ:təri] n.动脉，命脉
arthritis     [ɑ:'θraitis] n.关节炎
article     [ˈɑːtikl] n.文章；条款；物品
articulate     [ɑ:'tikjulit] v.清楚说话；连接
artifact     ['ɑ:tifækt] n.人工制品
artifacts     ['ɑ:tifæks] n.史前古器物
artifice     ['ɑ:tifis] n.巧办法；诡计
artificial     [ˌɑːtiˈfi∫əl] a.人工的；娇揉造作的
artillery     [ɑ:'tiləri] n. 大炮; 炮兵
artist     [ˈɑːtist] n.艺术家，美术家
artistic     [ɑːˈtistik] a.艺术的；艺术家的
artistry     ['ɑ:tistri] n.艺术技巧
artless     ['ɑ:tlis] a.粗俗的；自然的
as     [æz] conj.当…的时候
ascend     v.攀登,上升
ascendancy     [ə'sendənsi] n.统治权，支配力量
ascertain     vt.确定,探知
ascetic     [ə'setik] a.禁欲的；n.苦行者
ascribe     [əs'kraib] v.归功于；归咎于
aseptic     [æ'septik] a.洁净的；无菌的
ash     [æ∫] n.灰，灰末；骨灰
ashamed     [əˈ∫eimd] a.惭愧(的)；羞耻(的)
ashore     [ə'ʃɔ:] ad.上岸;在岸上，向岸上
asia     [ˈei∫ə] n.亚洲
asian     [ˈei∫ən] a.亚洲的 n.亚洲人
aside     [əˈsaid] ad.在旁边，到旁边
asinine     ['æsinain] a. 愚笨的
ask     [ɑːsk] vt.问；要求；邀请
askance     [ə'skæns] adv. 侧目而视，瞟
askew     [əs'kju:] a. 歪斜的；v. 歪斜，弯曲
asleep     [əˈsliːp] a.睡着的，睡熟的
asparagus     [əs'pærəɡəs] [植]芦笋，龙须菜(可作蔬菜)
aspect     [ˈæspekt] n.方面；样子，外表
aspen     ['æspən] n.白杨
asperity     [æs'periti] n.严酷；粗鲁
aspersion     [əs'pə:ʃən] n.诽谤，中伤
asphalt     ['æsfælt] n. 沥青
asphyxia     [æs'fiksiə] n. 窒息
asphyxiate     [æs'fiksieit] v.(使)无法呼吸，窒息而死
aspirant     [əs'paiərənt] n.有抱负者
aspiration     [,æspə'reiʃən] n.抱负，热望
aspire     [əs'paiə] v.向往，有志于
assail     [ə'seil] v.(评论)抨击；猛攻
assassinate     [ə'sæsineit] vt.暗杀，行刺;中伤
assassination     n.暗杀
assault     [ə'sɔ:lt] n.突然袭击；猛袭
assay     [ə'sei] v./n.试验，测定
assemble     [əˈsembl] vt.集合，召集；装配
assembly     [əˈsembli] n.集合；集会；装配
assent     [ə'sent] v.同意，赞成
assert     [ə'sə:t] v.断言，主张
assertive     [ə'sə:tiv] a.过分自信的；有进取心的
assertiveness     [ə'sə:tivnis] n.过分自信
assess     [əˈses] vt.对(财产等)估价
assessment     [ə'sesmənt] n.估计，评价
asset     ['æset] n.财产；优点，长处，可取之处
assiduous     [ə'sidjuəs] a.勤勉的；专心的
assign     [əˈsain] vt.指派；分配；指定
assignment     [əˈsainmənt] n.任务，指定的作业
assimilate     [ə'simileit] v.同化；吸收
assist     [əˈsist] vt.援助，帮助；搀扶
assistance     n.协助,援助,补助,<英>国家补助
assistant     [əˈsistənt] n.助手，助理；助教
associate     [əˈsəu∫ieit] vi.交往 n.伙伴，同事
association     [əˌsəusiˈei∫ən] n.协会,团体；联合
assoil     [ə'sɔil] v. 赦免，释放，补偿，赎
assorted     [ə'sɔ:tid] a.混杂的
assuage     [ə'sweidʒ] v.缓和，减轻
assume     [əˈsjuːm] vt.假定；承担；呈现
assumption     [ə'sʌmpʃən] n.设想；夺取
assurance     n.确信,断言,保证,担保
assure     [əˈ∫uə] vt.使确信；向…保证
assured     [ə'ʃuəd] a.自信的；确定的
asterisk     ['æstərisk] n.星号
asteroid     ['æstərɔid] n.小行星
asthma     ['æsmə] n.哮喘症
astigmatic     [,æstiɡ'mætik] a. 散光的，乱视的
astonish     [əsˈtɔni∫] vt.使惊讶，使吃惊
astound     [əs'taund] v.使震惊
astray     [əs'trei] a.迷路的，误入歧途的
astringent     [əs'trindʒənt] a.止血的，收缩的；n.收缩剂，止血剂
astrolabe     ['æstrəleib] n.星盘(古代星位观测仪)
astrology     [ə'strɔlədʒi] n.占星术；占星学
astronaut     [ˈæstrənɔːt] n.宇宙航行员，宇航员
astronomical     [æstrə'nɔmik(ə)l] a.庞大的
astronomy     [ə'strɔnəmi] n.天文学
astute     [ə'stju:t] a.机敏的，精明的
asunder     [ə'sʌndə(r)] a./adv.分离的；化为碎片
asylum     [ə'sailəm] n.避难所，庇护所
asymmetric     [æsi'metrik] a.不对称的
at     [æt] prep.在…里；在…时
atheism     ['eiθiizəm] n. 无神论，不信神
athlete     [ˈæθliːt] n.运动员；田径运动员
athletics     [æθ'letiks] n.运动，体育
atlantic     [ətˈlæntik] a.大西洋的 n.大西洋
atlas     n.地图,地图集
atmosphere     [ˈætməsfiə] n.大气；空气；气氛
atmospheric     [ˌætməsˈferik] a.大气的;大气层的
atom     [ˈætəm] n.原子；微粒；微量
atomic     [əˈtɔmik] a.原子的；原子能的
atonal     [ei'təunl] a.(音乐)无调的
atone     [ə'təun] v. 赎罪，补偿
atrocious     [ə'trəuʃəs] a.残忍的，凶恶的
atrocity     [ə'trɔsiti] n.残暴，暴行
atrophy     ['ætrəfi] n.萎缩，衰退
attach     [əˈtæt∫] vt.缚，系，贴；附加
attack     [əˈtæk] vt.&vi.&n.攻击，进攻
attain     [əˈtein] vt.达到，获得，完成
attainment     [ə'teinmənt] n.成就
attempt     [əˈtempt] vt.尝试，试图 n.企图
attend     [əˈtend] vt.出席；照顾，护理
attendance     [ə'tendəns] n.出席;出席人数;护理，照料
attendant     n.服务员
attention     [əˈten∫ən] n.注意，留心；注意力
attentive     [əˈtentiv] a.注意的；有礼貌的
attenuate     [ə'tenjueit] v.变薄；减弱
attest     [ə'test] (to)v.证明
attic     ['ætik] n.阁楼，顶楼
attire     [ə'taiə] v. 穿着；装饰；n. 好衣服
attitude     [ˈætitjuːd] n.态度，看法；姿势
attorney     [ə'tə:ni] n.律师
attract     [əˈtrækt] vt.吸引；引起，诱惑
attraction     [əˈtræk∫ən] n.吸引；吸引力；引力
attractive     [əˈtræktiv] a.有吸引力的
attribute     [əˈtribju(ː)t] vt.把…归因于 n.属性
attrition     [ə'triʃən] n. 摩擦，磨损
attune     [ə'tju:n] (to)v.使调和
auction     ['ɔ:kʃən] n.拍卖
audacious     [ɔ:'deiʃəs] a.大胆的；愚勇的
audible     ['ɔ:dəbl] a.听得见的
audience     [ˈɔːdjəns] n.听众，观众，读者
audio     ['ɔ:diəu] n./a.音频(响)(的);声音(的)，听觉(的)
audit     ['ɔ:dit] v.审计，核对；旁听
auditorium     [,ɔ:di'tɔ:riəm] n.礼堂；观众席
auger     ['ɔɡə] n. 螺丝钻，钻孔机
augment     [ɔ:ɡ'ment] v.增大，增值
augmentation     [,ɔ:ɡmen'teiʃən] n. 增加
augur     ['ɔ:ɡə] n.占卜师；v.占卜
augury     ['ɔ:ɡjuri] n.预言，征兆，占卜
august     [ˈɔːgəst] n.八月
August     [ɔ:'ɡʌst] n.8月
aunt     [ɑːnt] n.伯母，婶母，姑母
aural     [ˈɔːrəl] a.耳的，听觉的
aureole     ['ɔ:riəl] n. 日冕，光轮
auricular     [ɔ:'rikjulə] a. 耳的
auspice     ['ɔ:spis] n. 预兆，吉兆；赞助，支持
auspices     ['ɔ:spisiz] n.资助，赞助
auspicious     [ɔ:s'piʃəs] a.幸运的；吉兆的
austere     [ɔs'tiə] a.朴素的
austerity     [ɔs'teriti] n.朴素，艰苦
australia     [ɔsˈtreiljə] n.澳大利亚
australian     [ɔsˈtreiliən] a.澳大利亚的
authentic     [ɔ:'θentik] a.真正的；法律证实的
authenticity     [,ɔ:θen'tisiti] n.确实性，真实性
author     [ˈɔːθə] n.作者，作家
authoritarian     [ɔ:,θɔri'teəriən] n.独裁主义者；极权主义者
authoritative     adj.权威的,有权威的,命令的
authority     [ɔːˈθɔriti] n.当局，官方；权力
authorization     [,ɔ:θərai'zeiʃən] n.授权，认可
authorize     v.批准
auto     [ˈɔːtəu] n.(口语)汽车
autobiography     [,ɔ:təbai'ɔɡrəfi] n.自传
autocracy     [ɔ:'tɔkrəsi] n.独裁政府
autocrat     ['ɔ:təukræt] n.独裁者
automatic     [ˌɔːtəˈmætik] a.自动的；机械的
automation     [ɔːtəˈmei∫ən] n.自动，自动化
automobile     [ˌɔːtəˈməubil] n.汽车，机动车
autonomous     [ɔ:'tɔnəməs] a.自治的
autonomy     [ɔ:'tɔnəmi] n.自治，独立
autumn     [ˈɔːtəm] n.秋，秋季
auxiliary     [ɔːgˈziljəri] a.辅助的；附属的
avail     vi.有益于,有帮助,有用,有利;vt.有利于;n.效用,利益
available     [əˈveiləbl] a.可利用的；通用的
avalanche     ['ævə,lɑ:nʃ] n.雪崩
avant-garde     [ævəŋ'ɡɑ:d] n.(艺术)先锋派
avarice     ['ævəris] n.贪财，贪婪
avaricious     [,ævə'riʃəs] a.贪婪的，贪心的
avenge     [ə'vendʒ] v.为„复仇，为„报仇
avenue     [ˈævinjuː] n.林荫道，道路；大街
aver     [ə'və:] v.极力声明；断言；确证
average     [ˈævəridʒ] n.平均数 a.平均的
averse     [ə'və:s] a.不愿的;反对的
aversion     [ə'və:ʃən] n.嫌恶，憎恨
avert     [ə'və:t] v.避免，防止；避开
aviary     ['eivjəri] n.大鸟笼，鸟舍
aviation     [ˌeiviˈei∫ən] n.航空，航空学
avid     ['ævid] a.渴望的；热心的
avocation     [ævə'keiʃ(ə)n] n. 副业；嗜好
avoid     [əˈvɔid] vt.避免，躲开；撤消
avow     [ə'vau] v.承认；公开宣称
avowal     [ə'vauəl] n. 声明
avuncular     [ə'vʌŋkjulə] a. 伯(叔)父的
await     [əˈweit] vt.等候，期待
awake     [əˈweik] a.醒着的 vt.唤醒
award     [əˈwɔːd] n.奖，奖品；判定
aware     [əˈweə] a.知道的，意识到的
away     [əˈwei] ad.离开，远离；…去
awe     [ɔ:] n./v.敬畏
awe-inspiring     [ɔ:in'spaiəriŋ] a.令人敬畏的
awful     [ˈɔːful] a.令人不愉快的
awfully     [ˈɔːfuli] ad.令人畏惧的；很
awkward     [ˈɔːkwəd] a.笨拙的；尴尬的
awl     [ɔ:l] n.(钻皮革的)尖钻
awning     ['ɔ:niŋ] n.遮阳蓬，雨蓬
awry     [ə'rai] a.扭曲的，走样的
ax     [æks] n.斧子
axe     [æks] n.(ax)斧子;削减 vt.用斧砍
axiom     ['æksiəm] n.公理；定理
axis     [ˈæksis] n.轴，轴线；中心线
axle     ['æksl] n.轮轴(连接两个车轮的轴)
azure     ['æʒə] n. 天蓝色；a. 蔚蓝的
B    
babble     ['bæbl] v.胡言乱语；牙牙学语；喋喋不休
baby     [ˈbeibi] n.婴儿；孩子气的人
bacchanal     ['bækənl] n. (行为放纵的)狂欢会
bachelor     ['bætʃələ] n.单身汉;(亦作B-)学士(学位)
back     [bæk] ad.在后；回原处；回
backdrop     ['bækdrɔp] n.(事情的)背景；背景幕布
background     [ˈbækgraund] n.背景，后景，经历
backhanded     [bæk'hændid] a.间接的；反手击球的
backset     ['bækset] n.倒退
backslide     ['bækslaid] v. 故态复萌
backward     [ˈbækwəd] a.向后的；倒的 ad.倒
backwater     ['bækwɔ:tə(r)] n. 死水；闭塞地区
bacon     ['beikən] n.咸猪肉,熏猪肉
bacteria     [bækˈtiəriə] n.细菌
bacterium     [bæk'tiəriəm] n.细菌
bad     [bæd] a.坏的，恶的；严重的
badge     [bædʒ] n.徽章(如校徽等)
badger     ['bædʒə] n.獾；v.一再烦扰，一再要求
badinage     ['bædinɑ:ʒ] n.开玩笑，打趣
badly     [ˈbædli] ad.坏，差；严重地
badminton     [ˈbædmintən] n.羽毛球
baffle     ['bæfl] v. 使困惑，难倒
bag     [bæg] n.袋，包，钱包，背包
baggage     [ˈbægidʒ] n.行李
bail     [beil] n.保释金 v.保释
bait     [beit] n.诱饵；v.逗弄；激怒
bake     [beik] vt.烤，烘，焙；烧硬
balance     [ˈbæləns] vt.使平衡；称 n.天平
balcony     ['bælkəni] n.阳台;(电影院等的)楼厅，楼座
bald     [bɔ:ld] a.秃的,秃头的
bale     [beil] n.大包裹；灾祸，不幸
baleful     ['beilful] a.有害的，恶意的
balk     [bɔ:lk] n.大方木料；v.妨碍；(因困难等)不愿前进或从事某事
balky     ['bɔ:ki] a. 停止不前的；倔强的
ball     [bɔːl] n.球，球状物；舞会
ballad     ['bæləd] n.歌谣，小曲
ballast     ['bæləst] n.(船等)压舱物
ballerina     [,bælə'ri:nə] n.芭蕾舞女演员
ballet     n.芭蕾舞,芭蕾舞剧,芭蕾舞乐曲
balloon     [bəˈluːn] n.气球，玩具气球
ballot     ['bælət] n./v.投票
balm     [bɑ:m] n.香油，药膏；镇痛剂
balmy     ['bɑ:mi] a.(气候)温和的；芳香的
bamboo     n.竹子
bamboozle     [bæm'bu:zl] v. 欺骗，隐瞒
ban     [bɑ:n] n.禁令
banal     [bə'nɑ:l] a.陈腐的
banana     [bəˈnɑːnə] n.香蕉；芭蕉属植物
band     [bænd] n.乐队；带；波段
bandage     ['bændidʒ] n.绷带；v.用绷带包扎
bandy     ['bændi] v. 来回抛球；轻率谈论
bane     [bein] n.祸根
bang     [bæŋ] n.巨响，枪声；猛击
banish     ['bæniʃ] v.放逐某人
banister     ['bænistə] n.(楼梯的)栏杆
bank     [bæŋk] n.银行；库；岩，堤
bankrupt     ['bæŋkrʌpt] a.破产的
banner     [ˈbænə] n.旗，旗帜，横幅
banquet     ['bæŋkwit] n.宴会，盛宴
banter     ['bæntə] n.打趣，玩笑
bar     [bɑː(r)] n.酒吧间；条，杆；栅
barb     [bɑ:b] n.(鱼钩的)倒钩；严厉的批评
barbarian     [bɑ:'beəri:ən] n. 野蛮人；adj. 粗鲁的
